Phylum,Class,Genus,number of occurrences
Arthropoda,Diplopoda,Orthoporoides,2
Arthropoda,Diplopoda,Orthoporus,12
Arthropoda,Diplopoda,Oxidus,4
Arthropoda,Diplopoda,Oxydesmus,76
Arthropoda,Diplopoda,Phryssonotus,6
Arthropoda,Diplopoda,Platydesmus,3
Arthropoda,Diplopoda,Plesioproctus,5
Arthropoda,Diplopoda,Polydesmus,3
Arthropoda,Diplopoda,Polyxenus,109
Arthropoda,Diplopoda,Polyzonium,114
Arthropoda,Diplopoda,Proteroiulus,4
Arthropoda,Diplopoda,Pseudopolydesmus,84
Arthropoda,Diplopoda,Rhinotus,51
Arthropoda,Diplopoda,Riukiaria,12
Arthropoda,Diplopoda,Schizoturanius,4
Arthropoda,Diplopoda,Siphonocybe,1
Arthropoda,Diplopoda,Siphonophora,27
Arthropoda,Diplopoda,Sphaerotherium,16
Arthropoda,Diplopoda,Stemmiulus,2
Arthropoda,Diplopoda,Syntelopodeuma,1
Arthropoda,Diplopoda,Tachypodoiulus,156
Arthropoda,Diplopoda,Thyrophygus,2
Arthropoda,Diplopoda,Thyropygus,1
Arthropoda,Diplopoda,Trachyiulus,10
Arthropoda,Diplopoda,Trigoniulus,21
Arthropoda,Diplopoda,Uroblaniulus,1
Arthropoda,Diplopoda,Xystodesmus,1
Arthropoda,Diplopoda,Yamasinaium,27
Arthropoda,Diplopoda,Zoosphaerium,25
Arthropoda,Diplopoda,unknown,33
Arthropoda,Diplura,Campodea,1
Arthropoda,Diplura,Eumesocampa,121
Arthropoda,Diplura,Japyx,3
Arthropoda,Diplura,Lepidocampa,61
Arthropoda,Diplura,Metajapyx,100
Arthropoda,Diplura,Metriocampa,21
Arthropoda,Diplura,Occasjapyx,54
Arthropoda,Diplura,Parajapyx,1
Arthropoda,Diplura,unknown,59
Arthropoda,Hexanauplia,Acanthocyclops,144
Arthropoda,Hexanauplia,Acartia,328
Arthropoda,Hexanauplia,Acrenhydrosoma,3
Arthropoda,Hexanauplia,Aetideus,6
Arthropoda,Hexanauplia,Amphiascoides,4
Arthropoda,Hexanauplia,Amphiascus,3
Arthropoda,Hexanauplia,Anchistrotos,1
Arthropoda,Hexanauplia,Arctodiaptomus,39
Arthropoda,Hexanauplia,Arenocaris,1
Arthropoda,Hexanauplia,Arenopontia,4
Arthropoda,Hexanauplia,Benthomisophria,8
Arthropoda,Hexanauplia,Bestiolina,11
Arthropoda,Hexanauplia,Boeckella,3
Arthropoda,Hexanauplia,Bradya,9
Arthropoda,Hexanauplia,Byrathis,2
Arthropoda,Hexanauplia,Calamoecia,1
Arthropoda,Hexanauplia,Calanoides,21
Arthropoda,Hexanauplia,Calanus,557
Arthropoda,Hexanauplia,Caligus,488
Arthropoda,Hexanauplia,Calocalanus,13
Arthropoda,Hexanauplia,Candacia,5
Arthropoda,Hexanauplia,Canthocalanus,11
Arthropoda,Hexanauplia,Canthocamptus,5
Arthropoda,Hexanauplia,Caudacalanus,1
Arthropoda,Hexanauplia,Centropages,194
Arthropoda,Hexanauplia,Cerviniella,2
Arthropoda,Hexanauplia,Cerviniopsis,1
Arthropoda,Hexanauplia,Clausia,1
Arthropoda,Hexanauplia,Clausocalanus,44
Arthropoda,Hexanauplia,Conchyliurus,1
Arthropoda,Hexanauplia,Copidodiaptomus,1
Arthropoda,Hexanauplia,Copilia,3
Arthropoda,Hexanauplia,Corycaeus,4
