Phylum,Class,18S sample,18S reads
Annelida,Polychaeta,CN18Fc43_5_eDNA,0.002406617
Annelida,Polychaeta,CN18Fc44_8_eDNA,0.001814462
Annelida,Polychaeta,CN18Fc46_8_eDNA,0.001615702
Annelida,Polychaeta,CN18Fc47_6_eDNA,0.000828934
Annelida,Polychaeta,CN18Fc49_6_eDNA,0.001385493
Annelida,Polychaeta,CN18Fc51_5_eDNA,0.002727174
Annelida,Polychaeta,CN18SESPkoa_SC36,0.001625645
Annelida,Polychaeta,CN18SESPkoa_SC37,0.003738318
Annelida,Polychaeta,CN18SESPkoa_SC39,0.001732159
Annelida,Polychaeta,CN18SESPkoa_SC40,0.004483022
Annelida,Polychaeta,CN18SESPkoa_SC41,0.000971745
Annelida,Polychaeta,CN18SESPkoa_SC44,0.002001134
Annelida,Polychaeta,CN18SESPkoa_SC45,0.003474718
Annelida,Polychaeta,CN18SESPkoa_SC47,0.002682101
Annelida,Polychaeta,CN18SESPkoa_SC49,0.003319977
Annelida,Polychaeta,CN18Sc09_2_eDNA,0.002607495
Annelida,Polychaeta,CN18Sc10_2_eDNA,0.003543635
Annelida,Polychaeta,CN18Sc14_2_eDNA,0.002932025
Annelida,Polychaeta,CN18Sc14_8_eDNA,0.002762867
Annelida,Polychaeta,CN18Sc15_2_eDNA,0.003241374
Annelida,Polychaeta,CN18Sc15_8_eDNA,0.000616655
Annelida,Polychaeta,CN18Sc18_2_eDNA,0.003174945
Annelida,Polychaeta,CN18Sc18_8_eDNA,0.001224927
Annelida,Polychaeta,CN18Sc27_2_eDNA,0.003859187
Annelida,Polychaeta,CN18Sc27_8_eDNA,0.000674218
Annelida,Polychaeta,CN19_Buck1_SN_0m_1,0.001603923
Annelida,Polychaeta,CN19_Buck1_SN_0m_2,0.009776356
Annelida,Polychaeta,CN19_Buck2_SN_0m_1,0.002418345
Annelida,Polychaeta,CN19_Buck2_SN_0m_2,0
Annelida,Polychaeta,CN19_Buck3_SN_0m_1,1.52E-05
Annelida,Polychaeta,CN19_Buck4_SM_Night_0m_1,0.00010562
Annelida,Polychaeta,CN19_Buck4_SM_Night_0m_2,7.74E-05
Annelida,Polychaeta,CN19_Buck5_0m_1,0
Annelida,Polychaeta,CN19_Buck5_0m_2,4.21E-05
Annelida,Polychaeta,CN19_Buck6_Dav_Night_0m_1,0.000391218
Annelida,Polychaeta,CN19_Buck6_Dav_Night_0m_2,1.61E-05
Annelida,Polychaeta,CN19_Nisk_Dav_Dawn_100m_1,0.000312917
Annelida,Polychaeta,CN19_Nisk_Dav_Dawn_100m_2,0.000317889
Annelida,Polychaeta,CN19_Nisk_Dav_Dawn_100m_3,0
Annelida,Polychaeta,CN19_Nisk_Dav_Dawn_27m_1,0
Annelida,Polychaeta,CN19_Nisk_Dav_Dawn_27m_2,1.74E-05
Annelida,Polychaeta,CN19_Nisk_Dav_Dawn_5m_1,0
Annelida,Polychaeta,CN19_Nisk_Dav_Dawn_5m_2,0
Annelida,Polychaeta,CN19_Nisk_Dav_Dusk_13m_1,0.003560939
Annelida,Polychaeta,CN19_Nisk_Dav_Dusk_13m_3,0.004175789
Annelida,Polychaeta,CN19_Nisk_Dav_Dusk_5m_1,0.00034846
Annelida,Polychaeta,CN19_Nisk_Dav_Dusk_5m_2,0.000479454
Annelida,Polychaeta,CN19_Nisk_Dav_Dusk_70m_1,0.001924149
Annelida,Polychaeta,CN19_Nisk_Dav_Dusk_70m_2,0.008566223
Annelida,Polychaeta,CN19_Nisk_Dav_Dusk_70m_3,0.00589128
Annelida,Polychaeta,CN19_Nisk_Dav_Predusk_12m_1,0
Annelida,Polychaeta,CN19_Nisk_Far_13m_1,0.002220669
Annelida,Polychaeta,CN19_Nisk_Far_13m_2,0.001590668
Annelida,Polychaeta,CN19_Nisk_Far_5m_1,6.34E-05
Annelida,Polychaeta,CN19_Nisk_Far_5m_2,0.001912551
Annelida,Polychaeta,CN19_Nisk_Far_60m_1,0.001827725
Annelida,Polychaeta,CN19_Nisk_Far_60m_2,0.00201085
Annelida,Polychaeta,CN19_Nisk_Far_60m_3,0.00140155
Annelida,Polychaeta,CN19_Nisk_MO_Dawn_100m_1,0.00032488
Annelida,Polychaeta,CN19_Nisk_MO_Dawn_100m_2,0.000701682
Annelida,Polychaeta,CN19_Nisk_MO_Dawn_100m_3,0.000861388
Annelida,Polychaeta,CN19_Nisk_MO_Dawn_26m_1,0
Annelida,Polychaeta,CN19_Nisk_MO_Dawn_26m_2,0
Annelida,Polychaeta,CN19_Nisk_MO_Dawn_5m_1,0
Annelida,Polychaeta,CN19_Nisk_MO_Dawn_5m_2,0
Annelida,Polychaeta,CN19_Nisk_MO_Night_100m_2,3.51E-05
Annelida,Polychaeta,CN19_Nisk_MO_Night_100m_3,0.000296051
Annelida,Polychaeta,CN19_Nisk_MO_Night_5m_1,0
Annelida,Polychaeta,CN19_Nisk_MO_Night_5m_2,0.000628295
Annelida,Polychaeta,CN19_Nisk_MO_Night_7m_1,0.000657486
Annelida,Polychaeta,CN19_Nisk_MO_Night_7m_2,0.000883168
Annelida,Polychaeta,CN19_Nisk_PB_Dawn_100m_1,0.005988024
Annelida,Polychaeta,CN19_Nisk_PB_Dawn_100m_2,0.005930941
Annelida,Polychaeta,CN19_Nisk_PB_Dawn_100m_3,0.005504709
Annelida,Polychaeta,CN19_Nisk_PB_Dawn_45m_1,0
Annelida,Polychaeta,CN19_Nisk_PB_Dawn_45m_2,1.55E-05
Annelida,Polychaeta,CN19_Nisk_PB_Dawn_5m_1,0
Annelida,Polychaeta,CN19_Nisk_PB_Dawn_5m_2,5.24E-05
Annelida,Polychaeta,CN19_Nisk_PB_Day_100m_1,0.000217858
Annelida,Polychaeta,CN19_Nisk_PB_Day_100m_2,0.000254121
Annelida,Polychaeta,CN19_Nisk_PB_Day_100m_3,0.000151302
Annelida,Polychaeta,CN19_Nisk_PB_Day_28m_1,0
Annelida,Polychaeta,CN19_Nisk_PB_Day_28m_2,0.000156288
Annelida,Polychaeta,CN19_Nisk_PB_Day_5m_1,0.000160457
Annelida,Polychaeta,CN19_Nisk_PB_Day_5m_2,0
Annelida,Polychaeta,CN19_Nisk_PB_Dusk_10m_1,0.000174395
Annelida,Polychaeta,CN19_Nisk_PB_Dusk_10m_2,0.000878073
Annelida,Polychaeta,CN19_Nisk_PB_Dusk_5m_1,0.000721798
Annelida,Polychaeta,CN19_Nisk_PB_Dusk_5m_2,0.001671512
Annelida,Polychaeta,CN19_Nisk_PB_Dusk_70m_1,0.003511562
Annelida,Polychaeta,CN19_Nisk_PB_Dusk_70m_2,0.00403015
Annelida,Polychaeta,CN19_Nisk_PB_Dusk_70m_3,0.002604073
Annelida,Polychaeta,CN19_Nisk_PB_Night_100m_2,0.005567047
Annelida,Polychaeta,CN19_Nisk_PB_Night_100m_3,0.018014015
Annelida,Polychaeta,CN19_Nisk_PB_Night_15m_1,0.002010373
Annelida,Polychaeta,CN19_Nisk_PB_Night_15m_2,0.001778692
Annelida,Polychaeta,CN19_Nisk_PB_Night_5m_1,0.001873035
Annelida,Polychaeta,CN19_Nisk_PB_Night_5m_2,0.000226242
Annelida,Polychaeta,CN19_Nisk_PS_Dawn_100m_1,0.000836896
Annelida,Polychaeta,CN19_Nisk_PS_Dawn_100m_2,0.001231466
Annelida,Polychaeta,CN19_Nisk_PS_Dawn_100m_3,0.000388119
Annelida,Polychaeta,CN19_Nisk_PS_Dawn_10m_1,2.99E-05
Annelida,Polychaeta,CN19_Nisk_PS_Dawn_10m_2,0
Annelida,Polychaeta,CN19_Nisk_PS_Dawn_5m_1,3.15E-05
Annelida,Polychaeta,CN19_Nisk_PS_Dusk_10m_1,0.000460999
Annelida,Polychaeta,CN19_Nisk_PS_Dusk_10m_2,0.000252935
Annelida,Polychaeta,CN19_Nisk_PS_Dusk_5m_1,0.000295014
Annelida,Polychaeta,CN19_Nisk_PS_Dusk_5m_2,0.000262614
Annelida,Polychaeta,CN19_Nisk_PS_Dusk_75m_1,0.000146269
Annelida,Polychaeta,CN19_Nisk_PS_Dusk_75m_2,1.75E-05
Annelida,Polychaeta,CN19_Nisk_PS_Dusk_75m_3,5.44E-05
Annelida,Polychaeta,CN19_Nisk_SM_Dawn_100m_1,0.000823568
Annelida,Polychaeta,CN19_Nisk_SM_Dawn_100m_2,0.000702177
Annelida,Polychaeta,CN19_Nisk_SM_Dawn_100m_3,0.013733893
Annelida,Polychaeta,CN19_Nisk_SM_Dawn_11m_1,0.000264357
Annelida,Polychaeta,CN19_Nisk_SM_Dawn_11m_2,0.004819654
Annelida,Polychaeta,CN19_Nisk_SM_Dawn_5m_1,0.001593749
Annelida,Polychaeta,CN19_Nisk_SM_Day_100m_1,0.115128095
Annelida,Polychaeta,CN19_Nisk_SM_Day_100m_2,0.005603883
Annelida,Polychaeta,CN19_Nisk_SM_Day_100m_3,0.005599205
Annelida,Polychaeta,CN19_Nisk_SM_Day_10m_1,0.000130425
Annelida,Polychaeta,CN19_Nisk_SM_Day_10m_2,3.17E-05
Annelida,Polychaeta,CN19_Nisk_SM_Day_5m_1,0.001012085
Annelida,Polychaeta,CN19_Nisk_SM_Day_5m_2,0.000212842
Annelida,Polychaeta,CN19_Nisk_SM_Dusk_100m_1,0.000208262
