Phylum,Class,COI sample,COI reads
Annelida,nan,CN19_Nisk_MO_Night_100m_1,0
Annelida,nan,CN19_Nisk_MO_Night_100m_2,0
Annelida,nan,CN19_Nisk_MO_Night_100m_3,0
Annelida,nan,CN19_Nisk_MO_Night_5m_1,0
Annelida,nan,CN19_Nisk_MO_Night_5m_2,0
Annelida,nan,CN19_Nisk_MO_Night_7m_1,0
Annelida,nan,CN19_Nisk_PB_Dawn_100m_1,0
Annelida,nan,CN19_Nisk_PB_Dawn_100m_2,0
Annelida,nan,CN19_Nisk_PB_Dawn_100m_3,0
Annelida,nan,CN19_Nisk_PB_Dawn_45m_1,0
Annelida,nan,CN19_Nisk_PB_Dawn_45m_2,0
Annelida,nan,CN19_Nisk_PB_Dawn_5m_1,0
Annelida,nan,CN19_Nisk_PB_Dawn_5m_2,0
Annelida,nan,CN19_Nisk_PB_Day_100m_1,0
Annelida,nan,CN19_Nisk_PB_Day_100m_2,0
Annelida,nan,CN19_Nisk_PB_Day_100m_3,0
Annelida,nan,CN19_Nisk_PB_Day_28m_1,0
Annelida,nan,CN19_Nisk_PB_Day_28m_2,0
Annelida,nan,CN19_Nisk_PB_Day_5m_1,0
Annelida,nan,CN19_Nisk_PB_Day_5m_2,0
Annelida,nan,CN19_Nisk_PB_Dusk_10m_1,0
Annelida,nan,CN19_Nisk_PB_Dusk_10m_2,3.81E-05
Annelida,nan,CN19_Nisk_PB_Dusk_5m_1,0
Annelida,nan,CN19_Nisk_PB_Dusk_5m_2,0
Annelida,nan,CN19_Nisk_PB_Dusk_70m_1,0
Annelida,nan,CN19_Nisk_PB_Dusk_70m_2,0
Annelida,nan,CN19_Nisk_PB_Dusk_70m_3,1.75E-05
Annelida,nan,CN19_Nisk_PB_Night_100m_2,0.009676613
Annelida,nan,CN19_Nisk_PB_Night_100m_3,0.000765151
